Time,X_desired,Y_desired,X_actual,Y_actual,dX_desired,dY_desired,dX_actual,dY_actual,V_command,Omega_command,u_w1,u_w2
11.5,-0.3852778511949005,-0.8028381984400011,-0.7227543188641484,-0.8512097606556904,0.029239496477095398,0.07938856015779093,-0.06360337483938212,0.11906796488801735,0.08460196001370927,-0.5188873438896155,0.043031933898572544,0.0008692157485462862
12.0,-0.37003553325515287,-0.7630364485790798,-0.7438139607972866,-0.7823672199814878,0.030262481384289344,0.07573964497041422,-0.0421210513359292,0.13769085908678544,0.08156170424763604,-0.5888626850339354,0.04461619602623523,-0.00426204427139632
12.5,-0.35418101090704496,-0.7252576593210006,-0.7548616582865348,-0.7253338329345576,0.031627093669701956,0.07149901380670612,-0.022145670560590254,0.11432632018799922,0.0781817243946669,-0.6345085131509486,0.04544534116097822,-0.004275113276773617
13.0,-0.3375390906232846,-0.68980527475619,-0.7496324718794601,-0.6515940404970911,0.03333333333333332,0.06666666666666671,0.010436352065110658,0.14716905751235151,0.07453559924999302,-0.6971396585462803,0.043499036252439824,-0.011871362510478371
13.5,-0.31993457887658017,-0.6569827389750745,-0.7344059326978212,-0.5976102022574842,0.03538120037518338,0.06124260355029586,0.030461967906982475,0.10799919327259981,0.07072825340419193,-0.7203524403213235,0.0419390586289442,-0.01061291264398943
14.0,-0.3011922821396402,-0.6270934960680801,-0.6989806004030963,-0.5398538630846867,0.03777069479525217,0.05522682445759371,0.07091674053960235,0.11562040648082948,0.06690760438833511,-0.7398471166009333,0.03646422725191059,-0.01476332150066291
14.5,-0.28113700688517296,-0.6004409901256333,-0.6523771466450587,-0.49608969108765144,0.04050181659353966,0.0486193293885602,0.09328528460627944,0.0876019460166619,0.06327903552970793,-0.7365164536646155,0.0318456671747146,-0.01433339156660836
15.0,-0.25959355958588703,-0.5773286652381604,-0.6105785421739681,-0.46250594518987015,0.04357456577004588,0.041420118343195284,0.08359653128933019,0.0671669473247257,0.06011962230097887,-0.7745134294837218,0.03109630170687968,-0.014056954902982068
15.5,-0.23638674671449056,-0.5580599654960878,-0.5616675106917763,-0.44387368550920986,0.04698894232477079,0.033629191321499025,0.09770563536029699,0.03722016721237586,0.0577830702692287,-0.7346303243956303,0.02745640709417596,-0.011777725587775482
16.0,-0.21134137474369163,-0.542938334989842,-0.5093500389023113,-0.43824468521190113,0.05074494625771442,0.02524654832347145,0.10456972312859916,0.01125098332253328,0.056678371297592026,-0.662676760265116,0.0244183887287735,-0.009069808477700272
16.5,-0.18428225014619892,-0.5322672178098493,-0.4593933932800939,-0.4455909033938816,0.05484257756887675,0.01627218934911251,0.09996105171855507,-0.014699459631015583,0.057205703042717986,-0.552048107199062,0.022999266898421664,-0.005570466543583964
17.0,-0.15503417939472053,-0.5263500580465355,-0.4054430526276495,-0.46467302129570753,0.059281836258257836,0.0067061143984221,0.10796091264138241,-0.0381855394960931,0.05965993698015124,-0.4031991565243031,0.02017297968498044,-0.0016785382856312715
17.5,-0.12342196896196556,-0.5254902997903272,-0.3701388386874235,-0.49869802876441055,0.06406272232585765,-0.003451676528599623,0.07066891500892011,-0.06810831038625444,0.06415564248496017,-0.23010924954914574,0.024011067704239546,0.0037864362831738128
18.0,-0.08927042532064156,-0.5299913871316515,-0.3508054306409033,-0.5392745851583223,0.06918523577167611,-0.014201183431952591,0.038651058220087804,-0.08112004049043188,0.07062768904367732,-0.08050497269462854,0.029206918287185007,0.007620205508515007
18.5,-0.052404354943456743,-0.5401567641609342,-0.3459116729099507,-0.572932935764036,0.0746493765957133,-0.02554240631163704,0.009773185291859185,-0.06721814098140232,0.07889831396371778,0.009297114671138956,0.03583835092703481,0.007445190627286715
19.0,-0.012648564303120002,-0.5562898749686007,-0.3507561883291638,-0.613276631759593,0.08045514479796921,-0.03747534516765283,-0.009695350620825702,-0.08074002127553573,0.08875489744175762,0.11801954184304854,0.04282581194448387,0.01002514328988752
19.5,0.030172140127660008,-0.5786941636450789,-0.36171490847535753,-0.6457227166897241,0.08660254037844384,-0.04999999999999996,-0.021932887372355474,-0.06493790487875682,0.09999999999999996,0.16629246242913714,0.05004224763538169,0.008196645792340213
